nfilter,t1,t2,t3,t4,t5
32,1.342,0,0,1.734,0.061
31,0.59,0,0,1.653,1.262
697,28.655,0,0,34.707,26.321
2362,117.767,0,0,113.619,21.923
1626,87.539,0,0,82.449,8.146
720,39.025,0,0,38.905,1.673
109,5.28,0,0,6.252,0.35
33,1.232,0,0,1.773,0.071
17,0.42,0,0,0.982,0.811
187,13.727,0,0,9.057,9.387
812,60.076,0,0,40.668,20.099
585,41.33,0,0,30.339,9.027
493,35.379,0,0,26.401,4.298
204,14.418,0,0,11.562,0.481
13,0.972,0,0,0.762,0.041
12,0.321,0,0,0.711,0.591
161,6.282,0,0,14.809,7.715
2196,109.331,0,0,109.852,32.853
1988,108.99,0,0,100.003,16.652
1186,70.025,0,0,60.406,3.677
306,16.532,0,0,16.612,0.891
58,2.495,0,0,2.945,0.081
32,0.692,0,0,2.024,1.362
672,27.654,0,0,36.61,20.86
2271,116.966,0,0,116.244,17.934
1416,74.885,0,0,74.013,5.621
582,29.056,0,0,31.471,1.703
222,9.659,0,0,13.076,0.351
13,0.582,0,0,0.771,0.04
16,0.381,0,0,1.283,0.731
335,12.304,0,0,18.275,13.987
2872,137.284,0,0,145.251,28.224
1998,105.944,0,0,104.101,9.598
992,55.477,0,0,53.673,2.094
130,7.053,0,0,7.224,0.141
10,0.221,0,0,0.571,0.491
198,7.124,0,0,10.53,9.569
2360,119.009,0,0,118.358,29.748
1391,79.593,0,0,70.086,6.182
477,26.912,0,0,25.96,0.782
17,1.453,0,0,0.902,0.04
30,0.821,0,0,1.844,1.263
634,25.5,0,0,33.324,21.752
2880,135.211,0,0,139.86,29.968
2059,108.44,0,0,101.506,14.698
1206,66.178,0,0,62.11,2.926
280,14.017,0,0,15.34,0.801
68,2.875,0,0,4.197,0.091
26,0.561,0,0,1.713,1.162
415,18.455,0,0,21.271,18.836
1286,77.81,0,0,64.644,16.321
690,47.411,0,0,34.737,6.102
231,17.374,0,0,12.013,0.631
25,1.523,0,0,1.342,0.05
26,0.57,0,0,1.272,1.132
501,21.531,0,0,24.437,19.758
1521,92.218,0,0,72.61,12.835
496,49.545,0,0,25.549,0.722
21,1.302,0,0,1.122,0.05
15,0.361,0,0,0.651,0.661
275,10.972,0,0,12.965,14.338
1488,89.071,0,0,67.33,22.914
453,38.745,0,0,22.544,2.835
83,7.605,0,0,3.978,0.11
8,0.25,0,0,0.411,0.411
116,4.769,0,0,6.012,4.769
1505,82.89,0,0,74.404,26.541
926,58.493,0,0,46.31,5.029
241,15.399,0,0,12.734,0.241
26,0.601,0,0,1.343,1.132
494,20.45,0,0,24.437,20.961
1823,103.439,0,0,88.6,21.882
979,67.45,0,0,47.721,4.159
208,15.9,0,0,11.201,0.582
26,1.233,0,0,1.693,0.06
9,0.23,0,0,0.531,0.461
175,6.292,0,0,9.498,7.164
2357,118.057,0,0,116.915,27.794
1057,66.378,0,0,50.618,11.422
247,23.936,0,0,12.734,0.912
16,1.613,0,0,1.213,0.12
5,0.281,0,0,0.35,0.03
25,0.611,0,0,1.683,1.113
400,17.603,0,0,20.399,20.68
1331,79.894,0,0,66.738,10.901
655,40.137,0,0,34.406,1.513
105,5.601,0,0,5.882,0.121
29,0.712,0,0,1.883,1.203
622,25.399,0,0,33.385,24.066
2188,114.25,0,0,110.894,19.077
1317,76.046,0,0,69.153,5.06
392,23.205,0,0,22.163,0.631
21,1.071,0,0,1.172,0.06
24,0.541,0,0,1.292,1.072
524,20.75,0,0,26.862,22.323
2166,111.966,0,0,106.495,20.83
1315,78.982,0,0,64.083,5.932
372,22.784,0,0,19.918,0.651
19,1.052,0,0,1.042,0.04
31,0.621,0,0,2.044,1.433
469,21,0,0,24.537,20.189
1258,75.746,0,0,63.392,10.33
297,23.325,0,0,16.242,0.851
23,1.574,0,0,1.202,0.05
25,0.732,0,0,1.342,1.143
600,24.067,0,0,33.264,22.293
2446,121.785,0,0,126.714,22.683
1254,74.334,0,0,66.188,4.138
309,17.774,0,0,17.363,0.541
46,1.824,0,0,2.495,0.08
18,0.501,0,0,1.103,0.871
374,14.578,0,0,19.558,15.61
2629,129.219,0,0,132.355,21.171
1599,85.134,0,0,81.557,7.094
724,38.193,0,0,39.646,1.554
112,5.381,0,0,6.062,0.26
3,0.27,0,0,0.331,0.03
22,0.661,0,0,1.182,0.971
385,15.841,0,0,19.989,19.046
2541,123.788,0,0,123.949,24.627
1613,91.596,0,0,78.922,10.55
650,41.048,0,0,33.014,1.853
128,6.983,0,0,7.204,0.271
15,0.461,0,0,1.132,0.05
13,0.28,0,0,0.701,0.601
210,8.877,0,0,11.161,11.012
1240,77.569,0,0,60.687,20.229
499,40.047,0,0,25.499,2.154
74,6.012,0,0,3.827,0.181
3,0.27,0,0,0.241,0.03
17,0.431,0,0,0.982,0.771
315,12.584,0,0,16.642,15.38
2343,118.509,0,0,116.415,23.535
1557,85.665,0,0,78.451,9.609
796,46.66,0,0,41.049,1.683
149,6.894,0,0,8.386,0.331
12,0.891,0,0,0.701,0.05
10,0.27,0,0,0.612,0.491
198,7.594,0,0,10.109,9.388
1878,101.356,0,0,93.992,22.985
1478,82.178,0,0,74.553,9.388
853,49.134,0,0,44.917,1.773
113,5.23,0,0,6.071,0.191
11,0.551,0,0,0.631,0.04
27,0.541,0,0,1.423,1.112
568,23.516,0,0,28.735,22.904
2133,111.616,0,0,101.646,27.564
1161,73.663,0,0,57.321,6.693
385,25.84,0,0,20.129,1.042
69,3.356,0,0,3.927,0.09
28,0.641,0,0,1.683,1.242
627,25.369,0,0,34.686,19.848
2715,133.718,0,0,136.232,29.788
2158,117.156,0,0,109.812,12.845
1060,60.196,0,0,56.188,2.695
227,18.927,0,0,12.635,0.491
21,0.801,0,0,1.222,0.26
27,1.021,0,0,1.473,0.071
25,0.601,0,0,1.463,1.072
575,24.748,0,0,29.778,20.75
2337,127.436,0,0,116.084,21.762
1398,88.361,0,0,70.897,8.927
600,40.427,0,0,31.701,2.274
95,8.185,0,0,5.631,0.121
25,0.561,0,0,1.653,1.072
417,18.306,0,0,22.443,23.095
1747,95.664,0,0,86.637,22.734
972,64.094,0,0,49.415,2.926
155,9.158,0,0,9.338,0.281
3,0.221,0,0,0.241,0.03
30,0.822,0,0,1.553,1.363
614,25.449,0,0,31.201,24.296
1982,103.95,0,0,96.305,18.115
1043,63.152,0,0,53.533,3.046
203,11.492,0,0,10.922,0.611
37,1.683,0,0,2.195,0.081
16,0.371,0,0,0.792,0.791
254,10.369,0,0,13.776,12.555
1607,88.29,0,0,78.141,18.426
808,52.331,0,0,39.256,2.284
112,6.423,0,0,6.212,0.291
13,0.641,0,0,0.732,0.051
22,0.481,0,0,1.233,1.022
329,14.036,0,0,17.694,20.169
1291,78.171,0,0,65.016,16.622
576,37.793,0,0,29.337,2.525
127,7.986,0,0,6.712,0.28
25,0.992,0,0,1.453,0.04
30,0.611,0,0,1.613,1.343
398,19.257,0,0,19.829,18.786
811,56.539,0,0,38.694,7.455
200,17.994,0,0,10.3,0.481
7,0.731,0,0,0.41,0.04
21,0.481,0,0,1.133,0.962
345,14.678,0,0,17.354,16.061
1889,100.604,0,0,92.228,22.243
1398,78.321,0,0,68.582,11.753
956,53.193,0,0,47.752,7.164
495,31.15,0,0,25.88,1.102
45,2.836,0,0,2.264,0.08
21,0.491,0,0,1.453,0.892
389,16.301,0,0,19.638,21.11
1700,91.557,0,0,82.038,16.261
777,48.424,0,0,38.103,4.027
227,14.038,0,0,12.053,0.692
22,1.442,0,0,1.453,0.061
24,0.651,0,0,1.273,1.092
549,21.522,0,0,27.703,27.383
2613,126.965,0,0,127.445,34.987
2177,120.222,0,0,107.538,17.364
1702,90.825,0,0,86.076,9.589
1096,57.17,0,0,57.891,3.136
277,13.967,0,0,15.39,0.4
21,0.732,0,0,1.413,0.05
21,0.472,0,0,1.022,1.022
277,12.353,0,0,12.945,14.989
1129,71.738,0,0,54.485,8.596
282,21.622,0,0,14.888,0.531
19,1.273,0,0,0.992,0.04
22,0.491,0,0,1.523,0.992
427,16.302,0,0,22.854,18.365
2333,119.03,0,0,115.392,25.409
1636,90.024,0,0,82.789,7.455
577,33.114,0,0,30.539,1.734
109,5.971,0,0,6.051,0.241
13,0.461,0,0,0.731,0.05
26,0.841,0,0,1.703,1.132
475,19.257,0,0,24.207,21.301
1722,96.066,0,0,82.089,18.645
