nfilter,t1,t2,t3,t4,t5,label_mad
242,12.995,10.891,1.733,0.931,11.463,4430
934,73.041,38.424,8.176,2.605,14.558,8378.5
382,45.188,16.021,2.675,1.323,3.938,6777
178,17.424,7.755,1.262,0.571,1.182,8892
58,3.937,2.516,0.501,0.251,0.16,14794.5
9,0.411,0.45,0.17,0.04,0.05,4840
28,1.283,1.413,0.29,0.07,1.233,5862.5
598,24.477,24.568,4.649,1.292,20.951,12923.5
2262,115.343,91.257,20.981,5.13,18.315,21405
1526,80.255,63.513,14.398,4.349,6.051,48310
774,38.795,34.697,6.452,2.355,2.135,44652.5
181,8.747,8.477,1.322,0.712,0.38,35945
31,1.262,1.754,0.33,0.21,0.05,33563
18,0.451,0.772,0.25,0.17,0.882,53462.5
338,13.346,15.46,2.345,1.072,16.412,34906
1950,103.6,86.307,18.295,6.192,23.175,30266.5
949,58.323,42.833,8.367,2.615,3.567,25855
237,14.648,10.861,1.673,1.071,0.45,31935
11,0.642,0.541,0.211,0.14,0.04,13327
16,0.361,0.762,0.18,0.131,0.761,23647.5
212,9.579,9.769,1.513,0.782,11.332,24473
919,61.94,40.078,7.955,3.337,16.752,26099
502,38.244,27.293,3.727,2.355,3.156,22025.5
172,11.482,7.544,1.263,0.651,0.261,16800
4,0.32,0.31,0.16,0.1,0.03,7432.5
32,0.831,1.643,0.29,0.481,1.493,9433
699,27.774,31.07,5.741,2.905,24.036,20832
2310,115.183,95.504,21.332,6.262,27.754,15915.5
1599,92.369,64.785,14.959,3.868,11.893,11365
705,45.538,29.256,5.691,1.593,1.503,9301
42,3.376,1.813,0.441,0.251,0.06,10717
21,0.571,1.393,0.271,0.141,0.962,8138
422,17.083,18.606,3.076,1.503,18.235,10442.5
1762,100.454,71.499,16.552,4.9,17.283,10924
699,50.929,29.367,5.701,1.954,2.805,7494
121,9.278,5.21,0.932,0.36,0.371,4339
21,1.212,0.882,0.24,0.11,0.07,1474
28,0.511,1.202,0.281,0.14,1.263,1036
524,21.321,21.782,3.848,1.352,17.755,2756
1768,94.893,69.965,16.472,3.748,13.666,5184.5
941,54.055,40.218,8.296,2.725,5.32,9919
477,26.321,20.659,3.386,1.644,1.362,11670
112,5.351,4.74,0.852,0.381,0.281,11431
5,0.33,0.28,0.15,0.04,0.03,12150
9,0.251,0.411,0.16,0.12,0.672,26164
157,5.23,7.234,1.152,0.581,6.994,18831
2181,107.307,91.266,20.389,6.012,26.812,19411
1173,72.47,48.313,10.821,3.327,10.41,18460
455,32.032,18.937,3.336,1.754,1.182,24198
41,3.227,1.843,0.381,0.231,0.06,23418
26,0.611,1.102,0.28,0.15,1.232,1178.5
454,20.801,19.357,3.236,1.493,21.281,3312
1567,91.777,63.001,14.688,3.256,14.198,5816
747,46.801,30.709,6.092,1.813,2.696,13975
139,8.867,6.442,1.052,0.391,0.311,8310
10,0.441,0.451,0.171,0.12,0.05,304
25,0.611,1.462,0.26,0.131,1.192,8602
440,18.676,22.534,3.126,1.443,23.415,20225.5
1808,102.118,96.527,16.992,5.56,24.958,15363
1094,73.001,57.22,10.04,3.026,7.234,13351.5
466,29.777,24.638,3.347,1.533,1.483,11421.5
107,5.761,5.531,0.862,0.4,0.121,13216
21,0.481,0.912,0.25,0.06,0.962,11878
392,15.52,17.674,2.715,0.932,15.47,19629.5
2559,140.502,106.597,25.078,6.964,26.721,29086
1911,103.86,89.373,17.914,5.56,11.332,43769
1197,63.131,52.733,11.011,3.426,4.448,44641
452,22.864,20.7,3.176,1.603,1.152,30237
120,5.421,5.561,0.872,0.481,0.271,38845.5
4,0.44,0.38,0.131,0.03,0.03,13782.5
28,0.57,1.172,0.27,0.13,1.342,1873.5
327,16.172,13.467,2.284,0.732,15.389,5116
999,66.248,40.087,8.928,1.492,9.639,5279
364,25.139,14.488,2.545,0.812,0.882,7423.5
21,1.964,1.413,0.27,0.051,0.051,8489
27,0.521,1.313,0.311,0.18,1.243,1439
489,21.03,22.213,3.868,2.154,21.051,7195
1419,82.599,68.332,13.336,4.93,10.68,9518
552,36,27.173,4.218,1.884,1.022,9704
60,2.945,2.946,0.501,0.28,0.081,9757.5
25,0.831,1.523,0.271,0.15,1.202,28130
537,21.923,25.489,3.887,1.854,19.648,56063
2734,133.047,121.425,25.028,8.948,25.489,79888
2072,104.252,91.206,19.107,6.683,13.386,80117.5
1298,66.368,58.303,12.063,4.208,4.228,60325.5
