nfilter,t1,t2,t3,t4,t5,label_mad
1529,70.476,68.001,14.659,5.831,32.422
1214,64.093,54.215,11.262,4.669,7.124
743,38.424,32.984,6.753,2.585,1.874
172,8.436,8.286,1.423,0.721,0.42
43,1.563,2.264,0.481,0.16,0.161
7,0.481,0.381,0.2,0.11,0.06
19,0.461,1.262,0.281,0.13,0.892
382,14.608,18.115,3.126,1.243,19.838
1170,59.845,51.259,11.031,2.976,20.95
1141,58.904,49.195,10.921,2.876,9.648
1021,50.618,45.198,9.548,2.515,4.088
413,20.93,18.986,3.347,1.393,1.053
114,4.899,5.381,1.012,0.611,0.211
12,0.43,0.611,0.16,0.25,0.13
23,0.772,1.103,0.27,0.13,0.051
20,0.431,0.931,0.23,0.431,1.002
273,11.582,12.033,2.194,1.092,12.394
747,47.642,31.581,6.742,2.795,18.435
556,37.492,24.247,4.659,1.874,10.28
503,33.695,23.245,4.128,2.104,3.226
192,15.65,9.017,1.563,0.742,0.881
50,2.475,2.264,0.531,0.24,0.17
2,0.34,0.16,0.13,0.121,0.03
25,0.591,1.513,0.3,0.141,1.002
431,18.545,19.918,3.527,1.503,22.083
1449,69.624,61.85,13.966,4.929,25.82
1130,60.556,47.963,10.63,3.196,9.278
837,45.257,36.63,7.715,2.214,2.735
237,12.324,10.941,1.923,1.132,0.692
58,2.815,2.494,0.592,0.251,0.08
30,0.571,1.453,0.321,0.15,1.213
634,26.801,29.025,5.45,2.735,21.02
1517,73.602,68.282,14.568,4.98,15.92
1281,67.149,58.201,12.123,4.91,5.331
625,31.18,29.157,5.61,2.716,2.124
232,10.771,11.502,1.864,0.822,0.25
29,0.721,1.393,0.311,0.17,1.192
595,23.335,28.134,5.2,2.545,19.187
1611,73.652,73.091,15.5,5.881,16.462
1296,66.027,59.554,12.304,4.889,4.909
483,23.626,22.584,4.017,2.004,1.723
236,10.61,11.382,1.894,1.203,0.411
14,0.561,0.691,0.211,0.13,0.04
12,0.22,0.601,0.16,0.12,0.681
256,9.368,12.143,2.044,0.892,11.802
1340,64.976,65.286,12.845,3.707,23.946
1027,57.26,44.466,9.568,2.595,5.11
466,24.978,20.409,3.838,1.062,0.841
48,2.495,2.104,0.541,0.2,0.081
25,0.651,1.202,0.291,0.472,1.223
609,23.245,27.553,5.29,1.453,21.061
1631,72.42,69.605,15.8,4.158,24.758
1453,67.841,63.192,14.067,3.767,11.022
1017,53.854,46.179,9.438,2.254,3.106
294,12.864,13.616,2.395,0.651,0.561
31,1.293,1.373,0.35,0.151,0.05
12,0.331,0.621,0.151,0.13,0.541
214,8.005,9.508,1.744,0.631,10.961
953,51.179,41.35,8.777,2.555,21.742
472,33.564,19.908,3.818,1.262,2.825
217,13.556,9.659,1.763,0.902,0.24
25,0.531,1.262,0.27,0.06,1.193
476,19.507,19.878,3.877,0.762,18.626
884,50.146,35.488,8.066,1.773,12.434
609,39.336,26.491,5.35,1.773,1.222
69,4.228,2.945,0.681,0.32,0.2
6,0.351,0.33,0.171,0.11,0.03
16,0.341,0.481,0.18,0.04,0.772
309,12.153,11.782,2.445,0.531,16.282
838,47.792,32.683,7.755,1.583,18.897
396,30.148,16.963,3.206,0.752,1.973
141,9.969,6.132,1.233,0.381,0.161
8,0.24,0.361,0.16,0.041,0.45
125,4.789,5.59,1.062,0.23,4.809
1038,53.944,43.103,9.669,2.304,21.542
679,42.442,28.735,6.062,1.784,3.457
216,13.556,9.729,1.733,0.531,0.471
7,0.641,0.39,0.201,0.05,0.03
27,0.631,1.232,0.31,0.181,1.202
553,28.285,25.379,4.679,1.733,21.932
1129,66.708,47.391,10.5,2.736,19.577
762,49.295,32.663,6.893,2.244,5.08
285,20.319,13.095,2.285,0.751,0.872
53,5.731,2.335,0.571,0.31,0.16
5,0.321,0.311,0.131,0.04,0.14
14,0.621,0.692,0.18,0.041,0.051
29,0.671,1.383,0.321,0.131,1.242
